Phase,epoch,iteration,loss_nce,loss_registration_ncc,loss_registration_l1,loss_registration_smoothness,loss_G,loss_D,loss,time_duration (s)
Train,0,1,0.2575058341026306,0.0,0.264097660779953,0.013860630802810192,,,0.5354641079902649,
Train,0,2,0.24564316868782043,0.0,0.29854485392570496,0.01004374772310257,,,0.5542317628860474,
Train,0,3,0.2525752782821655,0.0,0.30082979798316956,0.013106852769851685,,,0.566511869430542,
Train,0,4,0.2082388997077942,0.0,0.22599130868911743,0.01270813774317503,,,0.44693833589553833,
Train,0,5,0.24401213228702545,0.0,0.23844650387763977,0.014008666388690472,,,0.49646732211112976,
Train,0,6,0.2189166247844696,0.0,0.24571064114570618,0.012107457965612411,,,0.4767347276210785,
Train,0,7,0.21201133728027344,0.0,0.23050831258296967,0.013868778944015503,,,0.4563884437084198,
Train,0,8,0.2040119171142578,0.0,0.18574826419353485,0.01389022171497345,,,0.4036504030227661,
Train,0,9,0.20675335824489594,0.0,0.14923085272312164,0.013802838511765003,,,0.3697870373725891,
Train,0,10,0.22882980108261108,0.0,0.30536705255508423,0.017144137993454933,,,0.5513409972190857,
